Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
481 24.05 0.034875 0.0345537 0.000485452
482 24.1 0.0347147 0.0343949 0.000480999
483 24.15 0.0345552 0.0342368 0.000476586
484 24.2 0.0343964 0.0340795 0.000472215
485 24.25 0.0342383 0.0339229 0.000467883
486 24.3 0.034081 0.0337671 0.000463592
487 24.35 0.0339244 0.0336119 0.00045934
488 24.4 0.0337685 0.0334575 0.000455128
489 24.45 0.0336134 0.0333038 0.000450954
490 24.5 0.033459 0.0331508 0.000446819
491 24.55 0.0333052 0.0329985 0.000442721
492 24.6 0.0331522 0.032847 0.000438662
493 24.65 0.033 0.0326961 0.00043464
494 24.7 0.0328484 0.0325459 0.000430655
495 24.75 0.0326975 0.0323964 0.000426706
496 24.8 0.0325473 0.0322476 0.000422794
497 24.85 0.0323978 0.0320996 0.000418919
498 24.9 0.032249 0.0319521 0.000415078
499 24.95 0.0321009 0.0318054 0.000411273
500 25 0.0319535 0.0316594 0.000407504
501 25.05 0.0318068 0.031514 0.000403768
502 25.1 0.0316607 0.0313693 0.000400068
503 25.15 0.0315153 0.0312253 0.000396401
504 25.2 0.0313706 0.0310819 0.000392768
505 25.25 0.0312266 0.0309392 0.000389169
506 25.3 0.0310832 0.0307971 0.000385602
507 25.35 0.0309405 0.0306558 0.000382069
508 25.4 0.0307985 0.030515 0.000378568
509 25.45 0.0306571 0.030375 0.000375099
510 25.5 0.0305163 0.0302355 0.000371662
511 25.55 0.0303763 0.0300967 0.000368257
512 25.6 0.0302368 0.0299586 0.000364883
513 25.65 0.030098 0.0298211 0.00036154
514 25.7 0.0299599 0.0296842 0.000358228
515 25.75 0.0298224 0.029548 0.000354946
516 25.8 0.0296855 0.0294124 0.000351694
517 25.85 0.0295493 0.0292774 0.000348473
518 25.9 0.0294136 0.029143 0.000345281
519 25.95 0.0292787 0.0290093 0.000342118
520 26 0.0291443 0.0288762 0.000338985
521 26.05 0.0290105 0.0287437 0.00033588
522 26.1 0.0288774 0.0286118 0.000332803
523 26.15 0.0287449 0.0284805 0.000329756
524 26.2 0.028613 0.0283498 0.000326736
525 26.25 0.0284817 0.0282198 0.000323743
526 26.3 0.028351 0.0280903 0.000320779
527 26.35 0.028221 0.0279614 0.000317841
528 26.4 0.0280915 0.0278331 0.000314931
529 26.45 0.0279626 0.0277055 0.000312047
530 26.5 0.0278343 0.0275784 0.00030919
531 26.55 0.0277066 0.0274518 0.000306359
532 26.6 0.0275795 0.0273259 0.000303554
533 26.65 0.027453 0.0272006 0.000300775
534 26.7 0.0273271 0.0270758 0.000298021
535 26.75 0.0272017 0.0269516 0.000295293
536 26.8 0.027077 0.026828 0.000292589
537 26.85 0.0269528 0.0267049 0.000289911
538 26.9 0.0268291 0.0265825 0.000287257
539 26.95 0.0267061 0.0264606 0.000284627
540 27 0.0265836 0.0263392 0.000282022
541 27.05 0.0264617 0.0262184 0.000279441
542 27.1 0.0263403 0.0260982 0.000276883
543 27.15 0.0262195 0.0259785 0.000274348
544 27.2 0.0260993 0.0258594 0.000271837
545 27.25 0.0259796 0.0257408 0.000269349
546 27.3 0.0258605 0.0256227 0.000266884
